Year,Month,Nino34
1896, 1, 0.16
1896, 2, 0.09
1896, 3, 0.15
1896, 4, -0.01
1896, 5, -0.04
1896, 6, -0.21
1896, 7, 0.43
1896, 8, 1.05
1896, 9, 1.04
1896, 10, 1.10
1896, 11, 1.51
1896, 12, 1.55
1897, 1, 1.49
1897, 2, 1.14
1897, 3, 0.54
1897, 4, -0.22
1897, 5, -0.17
1897, 6, -0.02
1897, 7, 0.07
1897, 8, -0.15
1897, 9, -0.24
1897, 10, -0.57
1897, 11, -0.61
1897, 12, -0.40
1898, 1, -0.51
1898, 2, -0.57
1898, 3, -0.79
1898, 4, -0.61
1898, 5, -0.59
1898, 6, -0.28
1898, 7, -0.63
1898, 8, -0.76
1898, 9, -0.19
1898, 10, -0.33
1898, 11, -0.66
1898, 12, -0.78
1899, 1, -0.75
1899, 2, -0.71
1899, 3, -0.56
1899, 4, -0.34
1899, 5, 0.04
1899, 6, 0.09
1899, 7, -0.02
1899, 8, 0.63
1899, 9, 0.43
1899, 10, 0.92
1899, 11, 1.29
1899, 12, 1.51
1900, 1, 1.41
1900, 2, 1.29
1900, 3, 0.99
1900, 4, 0.66
1900, 5, 0.54
1900, 6, 0.76
1900, 7, 0.75
1900, 8, 0.78
1900, 9, 0.56
1900, 10, 0.42
1900, 11, 0.14
1900, 12, 0.60
1901, 1, 0.82
1901, 2, 0.29
1901, 3, 0.05
1901, 4, -0.13
1901, 5, -0.19
1901, 6, -0.26
1901, 7, -0.30
1901, 8, -0.38
1901, 9, -0.30
1901, 10, -0.31
1901, 11, -0.39
1901, 12, -0.35
1902, 1, -0.50
1902, 2, -0.26
1902, 3, -0.27
1902, 4, 0.20
1902, 5, 0.47
1902, 6, 0.77
1902, 7, 1.44
1902, 8, 1.21
1902, 9, 1.44
1902, 10, 1.40
1902, 11, 1.54
1902, 12, 1.39
1903, 1, 1.33
1903, 2, 0.93
1903, 3, 0.79
1903, 4, 0.36
1903, 5, -0.10
1903, 6, 0.29
1903, 7, -0.49
1903, 8, -0.32
1903, 9, -0.60
1903, 10, -0.42
1903, 11, -0.76
1903, 12, -1.02
1904, 1, -0.73
1904, 2, -0.79
1904, 3, -0.85
1904, 4, -0.72
1904, 5, -0.40
1904, 6, 0.14
1904, 7, 0.75
1904, 8, 0.54
1904, 9, 0.01
1904, 10, 0.91
1904, 11, 0.15
1904, 12, 0.86
1905, 1, 0.68
1905, 2, 0.72
1905, 3, 0.92
1905, 4, 0.29
1905, 5, 1.08
1905, 6, 0.59
1905, 7, 0.82
1905, 8, 1.04
1905, 9, 1.42
1905, 10, 1.12
1905, 11, 0.83
1905, 12, 1.17
1906, 1, 0.89
1906, 2, 0.67
1906, 3, 0.80
1906, 4, 0.45
1906, 5, 0.02
1906, 6, 0.15
1906, 7, -0.49
1906, 8, -0.37
1906, 9, -0.81
1906, 10, -0.87
1906, 11, -0.33
1906, 12, -0.51
1907, 1, -0.57
1907, 2, -0.41
1907, 3, -0.43
1907, 4, -0.56
1907, 5, -0.47
1907, 6, -0.41
1907, 7, -0.55
1907, 8, -0.65
1907, 9, 0.13
1907, 10, -0.25
1907, 11, -0.25
1907, 12, -0.09
1908, 1, -0.27
1908, 2, 0.07
1908, 3, -0.63
1908, 4, -0.55
1908, 5, -0.45
1908, 6, -0.22
1908, 7, -0.63
1908, 8, -0.40
1908, 9, -0.52
1908, 10, -0.50
1908, 11, -0.88
1908, 12, -1.15
1909, 1, -0.29
1909, 2, -0.88
1909, 3, -0.54
1909, 4, -0.68
1909, 5, -0.36
1909, 6, -1.10
1909, 7, -1.00
1909, 8, -0.97
1909, 9, -0.85
1909, 10, -1.24
1909, 11, -1.50
1909, 12, -1.08
1910, 1, -0.93
1910, 2, -0.64
1910, 3, -0.79
1910, 4, -1.17
1910, 5, -1.41
1910, 6, -1.04
1910, 7, -0.88
1910, 8, -0.90
1910, 9, -1.29
1910, 10, -0.94
1910, 11, -0.53
1910, 12, -0.64
1911, 1, -0.57
1911, 2, -0.58
1911, 3, -0.82
1911, 4, -1.11
1911, 5, -1.05
1911, 6, -0.64
1911, 7, -0.22
1911, 8, -0.28
1911, 9, 0.22
1911, 10, 0.20
1911, 11, 0.84
1911, 12, 0.96
1912, 1, 1.55
1912, 2, 0.83
1912, 3, 0.69
1912, 4, 0.58
1912, 5, 0.00
1912, 6, -0.24
1912, 7, -0.10
1912, 8, -0.40
1912, 9, 0.09
1912, 10, -0.13
1912, 11, 0.16
1912, 12, -0.49
1913, 1, -0.20
1913, 2, 0.18
1913, 3, 0.16
1913, 4, -0.77
1913, 5, -0.28
1913, 6, -0.16
1913, 7, -0.15
1913, 8, -0.09
1913, 9, 0.05
1913, 10, 0.03
1913, 11, 0.80
1913, 12, 0.85
1914, 1, 0.70
1914, 2, 0.80
1914, 3, 0.32
1914, 4, 0.69
1914, 5, 0.01
1914, 6, 0.08
1914, 7, 0.53
1914, 8, 0.92
1914, 9, 0.68
1914, 10, 0.26
1914, 11, 0.30
1914, 12, 0.68
1915, 1, 0.88
1915, 2, 0.65
1915, 3, 0.49
1915, 4, 0.47
1915, 5, 0.52
1915, 6, 1.10
1915, 7, 0.07
1915, 8, 0.05
1915, 9, 0.17
1915, 10, 0.24
1915, 11, -0.15
1915, 12, -0.23
1916, 1, -0.12
1916, 2, -0.61
1916, 3, -0.54
1916, 4, -0.63
1916, 5, -0.23
1916, 6, -0.36
1916, 7, -1.11
1916, 8, -1.48
1916, 9, -1.36
1916, 10, -1.36
1916, 11, -1.72
1916, 12, -1.64
1917, 1, -1.56
1917, 2, -1.20
1917, 3, -0.64
1917, 4, -0.29
1917, 5, -0.30
1917, 6, -0.04
1917, 7, -0.05
1917, 8, 0.15
1917, 9, -0.03
1917, 10, 0.04
1917, 11, -0.43
1917, 12, -0.72
1918, 1, -0.84
1918, 2, -0.82
1918, 3, -0.96
1918, 4, -0.56
1918, 5, -0.17
1918, 6, 0.37
1918, 7, -0.07
1918, 8, 0.12
1918, 9, 0.41
1918, 10, 0.93
1918, 11, 1.23
1918, 12, 1.30
1919, 1, 1.60
1919, 2, 1.24
1919, 3, 0.90
1919, 4, 0.69
1919, 5, 0.63
1919, 6, 0.61
1919, 7, 0.40
1919, 8, 0.62
1919, 9, 0.50
1919, 10, 0.13
1919, 11, -0.37
1919, 12, 0.34
1920, 1, 0.64
1920, 2, 0.60
1920, 3, 0.53
1920, 4, -0.16
1920, 5, -0.21
1920, 6, 0.29
1920, 7, 0.15
1920, 8, 0.13
1920, 9, 0.27
1920, 10, 0.48
1920, 11, -0.08
1920, 12, -0.01
1921, 1, 0.43
1921, 2, -0.52
1921, 3, -1.42
1921, 4, -0.55
1921, 5, -0.92
1921, 6, -0.21
1921, 7, -0.27
1921, 8, -0.29
1921, 9, -0.17
1921, 10, 0.04
1921, 11, -1.03
1921, 12, -0.50
1922, 1, -0.54
1922, 2, -0.07
1922, 3, 0.08
1922, 4, -0.54
1922, 5, 0.22
1922, 6, -0.44
1922, 7, -0.44
1922, 8, -0.78
1922, 9, -0.38
1922, 10, -0.26
1922, 11, -0.31
1922, 12, -0.53
1923, 1, -0.41
1923, 2, -0.76
1923, 3, -0.85
1923, 4, -0.55
1923, 5, -0.25
1923, 6, -0.15
1923, 7, -0.20
1923, 8, 0.20
1923, 9, 0.64
1923, 10, 0.79
1923, 11, 0.87
1923, 12, 1.02
1924, 1, 0.46
1924, 2, 0.63
1924, 3, 0.39
1924, 4, -0.02
1924, 5, -0.85
1924, 6, -0.67
1924, 7, -0.98
1924, 8, -0.78
1924, 9, -0.86
1924, 10, -0.46
1924, 11, -1.09
1924, 12, -0.66
1925, 1, -1.03
1925, 2, -0.47
1925, 3, -0.53
1925, 4, -0.52
1925, 5, -0.40
1925, 6, -0.18
1925, 7, 0.50
1925, 8, 0.68
1925, 9, 0.77
1925, 10, 0.85
1925, 11, 1.00
1925, 12, 1.60
1926, 1, 1.52
1926, 2, 1.29
1926, 3, 1.19
1926, 4, 1.01
1926, 5, 0.83
1926, 6, 0.61
1926, 7, 0.63
1926, 8, 0.15
1926, 9, -0.07
1926, 10, -0.39
1926, 11, -0.27
1926, 12, -0.23
1927, 1, 0.10
1927, 2, 0.23
1927, 3, -0.18
1927, 4, -0.27
1927, 5, -0.59
1927, 6, -0.15
1927, 7, -0.31
1927, 8, -0.09
1927, 9, -0.16
1927, 10, 0.27
1927, 11, -0.04
1927, 12, 0.25
1928, 1, 0.47
1928, 2, 0.21
1928, 3, -0.24
1928, 4, -0.22
1928, 5, -0.04
1928, 6, -0.26
1928, 7, 0.02
1928, 8, -0.28
1928, 9, -0.13
1928, 10, -0.12
1928, 11, -0.17
1928, 12, -0.03
1929, 1, -0.15
1929, 2, -0.08
1929, 3, -0.15
1929, 4, -0.15
1929, 5, -0.17
1929, 6, 0.13
1929, 7, -0.02
1929, 8, 0.10
1929, 9, 0.30
1929, 10, 0.40
1929, 11, 0.18
1929, 12, 0.63
1930, 1, 0.35
1930, 2, 0.39
1930, 3, 0.29
1930, 4, 0.41
1930, 5, -0.04
1930, 6, 0.27
1930, 7, 0.64
1930, 8, 0.68
1930, 9, 1.28
1930, 10, 1.14
1930, 11, 1.79
1930, 12, 1.41
1931, 1, 1.49
1931, 2, 1.33
1931, 3, 1.18
1931, 4, 0.96
1931, 5, 0.63
1931, 6, 0.48
1931, 7, 0.40
1931, 8, 0.15
1931, 9, -0.42
1931, 10, -0.22
1931, 11, -0.27
1931, 12, -0.28
1932, 1, -0.42
1932, 2, -0.19
1932, 3, 0.25
1932, 4, 0.25
1932, 5, 0.28
1932, 6, 0.19
1932, 7, -0.11
1932, 8, 0.09
1932, 9, 0.02
1932, 10, 0.02
1932, 11, -0.04
1932, 12, -0.41
1933, 1, -0.21
1933, 2, -0.08
1933, 3, -0.20
1933, 4, 0.01
1933, 5, -0.40
1933, 6, -0.86
1933, 7, -0.66
1933, 8, -0.94
1933, 9, -0.77
1933, 10, -1.10
1933, 11, -1.06
1933, 12, -1.21
1934, 1, -0.93
1934, 2, -0.87
1934, 3, -0.95
1934, 4, -0.42
1934, 5, -0.49
1934, 6, -0.33
1934, 7, -0.43
1934, 8, -0.33
1934, 9, -0.52
1934, 10, -0.26
1934, 11, -0.11
1934, 12, -0.24
1935, 1, -0.32
1935, 2, -0.19
1935, 3, -0.28
1935, 4, -0.32
1935, 5, -0.54
1935, 6, -0.40
1935, 7, -0.65
1935, 8, 0.06
1935, 9, 0.08
1935, 10, 0.28
1935, 11, 0.28
1935, 12, -0.04
1936, 1, 0.74
1936, 2, 0.49
1936, 3, 0.00
1936, 4, 0.29
1936, 5, -0.07
1936, 6, -0.35
1936, 7, -0.34
1936, 8, -0.32
1936, 9, -0.10
1936, 10, 0.38
1936, 11, -0.03
1936, 12, 0.63
1937, 1, -0.30
1937, 2, 0.30
1937, 3, 0.25
1937, 4, 0.21
1937, 5, -0.43
1937, 6, -0.30
1937, 7, 0.09
1937, 8, -0.20
1937, 9, 0.17
1937, 10, -0.10
1937, 11, 0.21
1937, 12, 0.22
1938, 1, -0.21
1938, 2, 0.23
1938, 3, -0.06
1938, 4, 0.09
1938, 5, -0.33
1938, 6, -0.88
1938, 7, -0.98
1938, 8, -0.81
1938, 9, -0.28
1938, 10, -0.75
1938, 11, -0.72
1938, 12, -0.79
1939, 1, -0.67
1939, 2, -0.95
1939, 3, -0.85
1939, 4, -0.27
1939, 5, -0.25
1939, 6, 0.05
1939, 7, 0.25
1939, 8, 0.06
1939, 9, 0.43
1939, 10, -0.47
1939, 11, 0.32
1939, 12, 0.05
1940, 1, 1.18
1940, 2, 1.38
1940, 3, 1.19
1940, 4, 0.80
1940, 5, 0.34
1940, 6, 0.55
1940, 7, 0.21
1940, 8, 0.75
1940, 9, 0.05
1940, 10, 0.32
1940, 11, 0.70
1940, 12, 1.39
1941, 1, 1.38
1941, 2, 1.34
1941, 3, 1.41
1941, 4, 1.36
1941, 5, 1.32
1941, 6, 0.88
1941, 7, 0.73
1941, 8, 0.79
1941, 9, 0.68
1941, 10, 0.99
1941, 11, 1.17
1941, 12, 1.27
1942, 1, 0.61
1942, 2, 0.53
1942, 3, 0.25
1942, 4, 0.57
1942, 5, -0.10
1942, 6, -0.52
1942, 7, -0.55
1942, 8, -0.96
1942, 9, -1.17
1942, 10, -1.32
1942, 11, -1.50
1942, 12, -1.24
1943, 1, -1.20
1943, 2, -1.18
1943, 3, -1.10
1943, 4, -0.60
1943, 5, -0.36
1943, 6, -0.11
1943, 7, -0.09
1943, 8, 0.05
1943, 9, -0.24
1943, 10, -0.44
1943, 11, -0.50
1943, 12, -0.42
1944, 1, -0.42
1944, 2, 0.16
1944, 3, -0.21
1944, 4, 0.11
1944, 5, 0.14
1944, 6, 0.04
1944, 7, 0.08
1944, 8, 0.00
1944, 9, -0.31
1944, 10, -0.22
1944, 11, -0.35
1944, 12, -0.26
1945, 1, -0.36
1945, 2, -0.47
1945, 3, -0.79
1945, 4, -0.76
1945, 5, -0.46
1945, 6, -0.59
1945, 7, -0.61
1945, 8, -0.84
1945, 9, -0.82
1945, 10, -0.86
1945, 11, -0.42
1945, 12, -0.54
1946, 1, -0.44
1946, 2, -0.24
1946, 3, -0.36
1946, 4, -0.48
1946, 5, -0.39
1946, 6, 0.15
1946, 7, 0.03
1946, 8, -0.52
1946, 9, -0.19
1946, 10, -0.01
1946, 11, -0.18
1946, 12, 0.03
1947, 1, 0.39
1947, 2, -0.13
1947, 3, 0.28
1947, 4, -0.07
1947, 5, -0.55
1947, 6, 0.07
1947, 7, -0.39
1947, 8, -0.37
1947, 9, -1.05
1947, 10, -0.82
1947, 11, -0.73
1947, 12, 0.18
1948, 1, 0.05
1948, 2, 0.37
1948, 3, 0.63
1948, 4, 0.25
1948, 5, 0.31
1948, 6, 0.06
1948, 7, -0.06
1948, 8, -0.02
1948, 9, -0.02
1948, 10, -0.68
1948, 11, -0.30
1948, 12, 0.38
1949, 1, -0.46
1949, 2, 0.26
1949, 3, -0.55
1949, 4, 0.19
1949, 5, -0.07
1949, 6, -0.72
1949, 7, -0.39
1949, 8, -0.32
1949, 9, -0.65
1949, 10, -0.72
1949, 11, -1.33
1949, 12, -1.20
1950, 1, -1.05
1950, 2, -1.50
1950, 3, -1.07
1950, 4, -0.91
1950, 5, -1.30
1950, 6, -0.86
1950, 7, -1.08
1950, 8, -0.63
1950, 9, -1.10
1950, 10, -0.83
1950, 11, -1.38
1950, 12, -1.04
1951, 1, -1.13
1951, 2, -0.74
1951, 3, -0.77
1951, 4, -0.17
1951, 5, -0.10
1951, 6, -0.09
1951, 7, 0.66
1951, 8, 0.90
1951, 9, 0.67
1951, 10, 0.79
1951, 11, 0.78
1951, 12, 0.71
1952, 1, 0.39
1952, 2, 0.24
1952, 3, 0.04
1952, 4, 0.41
1952, 5, -0.38
1952, 6, -0.66
1952, 7, -0.59
1952, 8, -0.42
1952, 9, -0.35
1952, 10, -0.04
1952, 11, -0.32
1952, 12, -0.55
1953, 1, 0.36
1953, 2, 0.24
1953, 3, 0.22
1953, 4, 0.77
1953, 5, 0.35
1953, 6, 0.41
1953, 7, 0.20
1953, 8, 0.04
1953, 9, 0.67
1953, 10, 0.11
1953, 11, 0.31
1953, 12, 0.15
1954, 1, 0.39
1954, 2, 0.21
1954, 3, 0.01
1954, 4, -0.32
1954, 5, -0.53
1954, 6, -0.80
1954, 7, -1.02
1954, 8, -1.08
1954, 9, -1.03
1954, 10, -0.91
1954, 11, -1.17
1954, 12, -0.79
1955, 1, -0.66
1955, 2, -0.79
1955, 3, -0.80
1955, 4, -0.95
1955, 5, -1.23
1955, 6, -1.20
1955, 7, -1.32
1955, 8, -0.91
1955, 9, -1.33
1955, 10, -1.59
1955, 11, -1.91
1955, 12, -1.52
1956, 1, -1.23
1956, 2, -0.98
1956, 3, -0.93
1956, 4, -0.78
1956, 5, -0.59
1956, 6, -0.83
1956, 7, -0.94
1956, 8, -0.81
1956, 9, -0.91
1956, 10, -0.69
1956, 11, -1.01
1956, 12, -0.58
1957, 1, -0.56
1957, 2, -0.24
1957, 3, 0.08
1957, 4, 0.42
1957, 5, 0.45
1957, 6, 0.53
1957, 7, 0.69
1957, 8, 0.79
1957, 9, 0.53
1957, 10, 0.74
1957, 11, 1.09
1957, 12, 1.18
1958, 1, 1.54
1958, 2, 1.40
1958, 3, 0.99
1958, 4, 0.31
